[2026-08-13T07:56:14.736Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 14ms | Success: true | Reason: N/A
[2026-08-13T07:56:14.802Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:56:14.858Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 2ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:56:14.911Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 5ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:56:14.948Z] User: 111 | Chat: 999001 | Callback: "app_nonexistent999" | Handler: Job Approval Handler | Duration: 2ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:56:15.024Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 3ms | Success: true | Reason: N/A
[2026-08-13T07:56:15.065Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T07:56:15.120Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.298Z] User: 111 | Chat: 999001 | Callback: "follow_wait_771e1e6422" | Handler: Follow-up Scheduler | Duration: 1119ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.345Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 14ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.377Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 30ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.383Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.443Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 59ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.449Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:56:16.453Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 3ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:56:16.506Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 9ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.571Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 10ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.595Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 23ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.602Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.762Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 7ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.791Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 8ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.859Z] User: 111 | Chat: 999001 | Callback: "apply_all" | Handler: Bulk Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T07:56:16.907Z] User: 111 | Chat: 999001 | Callback: "reject_all" | Handler: Bulk Approval Handler | Duration: 27ms | Success: true | Reason: N/A
[2026-08-13T07:58:46.912Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 17ms | Success: true | Reason: N/A
[2026-08-13T07:58:46.978Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 9ms | Success: true | Reason: N/A
[2026-08-13T07:58:47.047Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 5ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:58:47.090Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:58:47.132Z] User: 111 | Chat: 999001 | Callback: "app_nonexistent999" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:58:47.187Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 4ms | Success: true | Reason: N/A
[2026-08-13T07:58:47.244Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 9ms | Success: true | Reason: N/A
[2026-08-13T07:58:47.326Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 7ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.301Z] User: 111 | Chat: 999001 | Callback: "follow_wait_771e1e6422" | Handler: Follow-up Scheduler | Duration: 911ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.347Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 7ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.419Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 70ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.425Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.442Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 15ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.448Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:58:48.453Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T07:58:48.509Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.575Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 8ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.600Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 24ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.605Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.761Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 18ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.802Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.867Z] User: 111 | Chat: 999001 | Callback: "apply_all" | Handler: Bulk Approval Handler | Duration: 4ms | Success: true | Reason: N/A
[2026-08-13T07:58:48.914Z] User: 111 | Chat: 999001 | Callback: "reject_all" | Handler: Bulk Approval Handler | Duration: 20ms | Success: true | Reason: N/A
[2026-08-13T08:06:21.635Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 19ms | Success: true | Reason: N/A
[2026-08-13T08:06:21.705Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T08:06:21.773Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 3ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:06:21.816Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 3ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:06:21.856Z] User: 111 | Chat: 999001 | Callback: "app_nonexistent999" | Handler: Job Approval Handler | Duration: 3ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:06:21.900Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 4ms | Success: true | Reason: N/A
[2026-08-13T08:06:21.949Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 8ms | Success: true | Reason: N/A
[2026-08-13T08:06:22.027Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.429Z] User: 111 | Chat: 999001 | Callback: "follow_wait_771e1e6422" | Handler: Follow-up Scheduler | Duration: 1333ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.482Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 9ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.529Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 45ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.536Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.555Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 18ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.562Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 5ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:06:23.568Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 5ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:06:23.631Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 9ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.719Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 10ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.749Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 29ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.757Z] User: 111 | Chat: 999001 | Callback: "rej_761bdff240" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.946Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 10ms | Success: true | Reason: N/A
[2026-08-13T08:06:23.981Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 8ms | Success: true | Reason: N/A
[2026-08-13T08:06:24.050Z] User: 111 | Chat: 999001 | Callback: "apply_all" | Handler: Bulk Approval Handler | Duration: 7ms | Success: true | Reason: N/A
[2026-08-13T08:06:24.112Z] User: 111 | Chat: 999001 | Callback: "reject_all" | Handler: Bulk Approval Handler | Duration: 36ms | Success: true | Reason: N/A
[2026-08-13T08:09:26.725Z] User: 642578356 | Chat: 642578356 | Callback: "sub_be6497dbdc" | Handler: Application Executor | Duration: 1924ms | Success: true | Reason: N/A
[2026-08-13T08:14:22.816Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 14ms | Success: true | Reason: N/A
[2026-08-13T08:14:22.894Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 6ms | Success: true | Reason: N/A
[2026-08-13T08:14:22.960Z] User: 111 | Chat: 999001 | Callback: "app_0000000000" | Handler: Job Approval Handler | Duration: 3ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:14:23.005Z] User: 111 | Chat: 999001 | Callback: "rej_0000000000" | Handler: Job Approval Handler | Duration: 4ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:14:23.050Z] User: 111 | Chat: 999001 | Callback: "app_nonexistent999" | Handler: Job Approval Handler | Duration: 5ms | Success: false | Reason: UNRESOLVED_APPLICATION
[2026-08-13T08:14:23.099Z] User: 111 | Chat: 999001 | Callback: "app_761bdff240" | Handler: Job Approval Handler | Duration: 5ms | Success: true | Reason: N/A
[2026-08-13T08:14:23.150Z] User: 111 | Chat: 999001 | Callback: "app_771e1e6422" | Handler: Job Approval Handler | Duration: 10ms | Success: true | Reason: N/A
[2026-08-13T08:14:23.243Z] User: 111 | Chat: 999001 | Callback: "rej_771e1e6422" | Handler: Job Approval Handler | Duration: 8ms | Success: true | Reason: N/A
[2026-08-13T08:14:24.135Z] User: 111 | Chat: 999001 | Callback: "follow_wait_771e1e6422" | Handler: Follow-up Scheduler | Duration: 824ms | Success: true | Reason: N/A
