[2026-08-14T04:30:27.402Z] User: 111 | Chat: 999001 | Callback: "profile_approval:APPROVE:prof_appr_f1d9c9a77a4e" | Handler: Profile Approval Handler | Duration: 70ms | Success: true | Reason: N/A
[2026-08-14T04:30:27.489Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_adbd3f805f09" | Handler: Profile Approval Handler | Duration: 57ms | Success: true | Reason: N/A
[2026-08-14T04:30:27.578Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_a9722e8c9683" | Handler: Profile Approval Handler | Duration: 62ms | Success: true | Reason: N/A
[2026-08-14T04:30:28.259Z] User: 111 | Chat: 999001 | Callback: "completely_invalid_prefix_xyz123" | Handler: Unknown Callback Router | Duration: 1ms | Success: false | Reason: UNKNOWN_CALLBACK_PREFIX
[2026-08-14T04:31:54.612Z] User: 111 | Chat: 999001 | Callback: "profile_approval:APPROVE:prof_appr_aba77d58b6d4" | Handler: Profile Approval Handler | Duration: 56ms | Success: true | Reason: N/A
[2026-08-14T04:31:54.689Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_955ba8f32ba9" | Handler: Profile Approval Handler | Duration: 51ms | Success: true | Reason: N/A
[2026-08-14T04:31:54.775Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_453844a9b1e0" | Handler: Profile Approval Handler | Duration: 59ms | Success: true | Reason: N/A
[2026-08-14T04:31:55.432Z] User: 111 | Chat: 999001 | Callback: "completely_invalid_prefix_xyz123" | Handler: Unknown Callback Router | Duration: 0ms | Success: false | Reason: UNKNOWN_CALLBACK_PREFIX
[2026-08-14T04:35:07.095Z] User: 642578356 | Chat: 642578356 | Callback: "profile_approval:APPROVE:prof_appr_abc7fb19427d" | Handler: Profile Approval Handler | Duration: 118440ms | Success: false | Reason: N/A
[2026-08-14T04:37:31.658Z] User: 111 | Chat: 999001 | Callback: "profile_approval:APPROVE:prof_appr_7aaca18e82a8" | Handler: Profile Approval Handler | Duration: 45ms | Success: true | Reason: N/A
[2026-08-14T04:37:31.728Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_96425ba9a271" | Handler: Profile Approval Handler | Duration: 38ms | Success: true | Reason: N/A
[2026-08-14T04:37:31.793Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_8a3be8dd8046" | Handler: Profile Approval Handler | Duration: 40ms | Success: true | Reason: N/A
[2026-08-14T04:37:32.347Z] User: 111 | Chat: 999001 | Callback: "completely_invalid_prefix_xyz123" | Handler: Unknown Callback Router | Duration: 0ms | Success: false | Reason: UNKNOWN_CALLBACK_PREFIX
[2026-08-14T04:38:37.797Z] User: 111 | Chat: 999001 | Callback: "profile_approval:APPROVE:prof_appr_6913a4d27d2d" | Handler: Profile Approval Handler | Duration: 55ms | Success: true | Reason: N/A
[2026-08-14T04:38:37.862Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_762ce4304e4a" | Handler: Profile Approval Handler | Duration: 38ms | Success: true | Reason: N/A
[2026-08-14T04:38:37.926Z] User: 111 | Chat: 999001 | Callback: "profile_approval:REJECT:prof_appr_11080dc9c16b" | Handler: Profile Approval Handler | Duration: 43ms | Success: true | Reason: N/A
[2026-08-14T04:38:38.442Z] User: 111 | Chat: 999001 | Callback: "completely_invalid_prefix_xyz123" | Handler: Unknown Callback Router | Duration: 1ms | Success: false | Reason: UNKNOWN_CALLBACK_PREFIX
[2026-08-14T04:56:20.535Z] User: 642578356 | Chat: 642578356 | Callback: "profile_approval:APPROVE:prof_appr_ffebe08c6e57" | Handler: Profile Approval Handler | Duration: 110397ms | Success: false | Reason: SAVE_BUTTON_NOT_READY
[2026-08-14T04:59:44.063Z] User: 111 | Chat: 999001 | Callback: "profile_approval:APPROVE:prof_appr_7301350ffa5f" | Handler: Profile Approval Handler | Duration: 80ms | Success: true | Reason: N/A
